Method,TP,TN,FP,FN,TPR,TNR,FPR,FNR,Precision,Accuracy,F1,AUC-ROC
KGBf,2,43603,48,32,0.0588,0.9989,0.0011,0.9412,0.04,0.9982,0.0476,0.7569
KGBfog,4,43545,106,30,0.1176,0.9976,0.0024,0.8824,0.0364,0.9969,0.0556,0.705
RandomForest,16,43614,37,18,0.4706,0.9992,0.0008,0.5294,0.3019,0.9987,0.3678,0.9028
SVM (RBF),21,42019,1632,13,0.6176,0.9626,0.0374,0.3824,0.0127,0.9623,0.0249,0.5497
LogisticReg,27,40980,2671,7,0.7941,0.9388,0.0612,0.2059,0.01,0.9387,0.0198,0.8452
IsoForest,1,43619,32,33,0.0294,0.9993,0.0007,0.9706,0.0303,0.9985,0.0299,0.925
